id_produto,nome_concorrente,preco_concorrente,data_coleta
prd_2293732b7542,Mercado Livre,65.45,2026-01-11 17:35:52
prd_2293732b7542,Amazon,67.52,2026-01-11 17:11:42
prd_2293732b7542,Shopee,70.97,2026-01-11 17:45:49
prd_84a009f1889d,Mercado Livre,31.25,2026-01-11 18:27:37
prd_84a009f1889d,Amazon,31.25,2026-01-11 16:50:51
prd_84a009f1889d,Magalu,33.89,2026-01-11 17:55:10
prd_84a009f1889d,Shopee,32.90,2026-01-11 11:50:41
prd_ff35b88df534,Mercado Livre,224.61,2026-01-11 10:51:39
prd_ff35b88df534,Amazon,211.90,2026-01-11 21:28:16
prd_ff35b88df534,Magalu,211.90,2026-01-11 20:11:23
prd_ff35b88df534,Shopee,194.95,2026-01-11 12:07:33
prd_38c1b898aecc,Mercado Livre,138.08,2026-01-11 17:05:13
prd_38c1b898aecc,Amazon,133.85,2026-01-11 15:43:21
prd_38c1b898aecc,Magalu,133.85,2026-01-11 19:44:37
prd_38c1b898aecc,Shopee,140.90,2026-01-11 21:49:06
prd_4ee65ed59110,Shopee,39.80,2026-01-11 16:01:04
prd_dfac11815029,Mercado Livre,200.34,2026-01-11 10:17:03
prd_dfac11815029,Amazon,173.88,2026-01-11 16:58:24
prd_dfac11815029,Magalu,185.22,2026-01-11 18:58:18
prd_dfac11815029,Shopee,189.00,2026-01-11 19:26:42
prd_334f4a32f979,Mercado Livre,396.41,2026-01-11 23:49:29
prd_334f4a32f979,Amazon,396.41,2026-01-11 13:26:41
prd_334f4a32f979,Magalu,384.27,2026-01-11 16:06:31
prd_334f4a32f979,Shopee,404.50,2026-01-11 18:35:03
prd_b7490508211e,Mercado Livre,209.00,2026-01-11 14:14:02
prd_b7490508211e,Amazon,226.60,2026-01-11 10:41:21
prd_b7490508211e,Magalu,220.00,2026-01-11 17:06:37
prd_b7490508211e,Shopee,220.00,2026-01-11 14:48:14
prd_23664e42a71c,Mercado Livre,109.90,2026-01-11 21:50:51
prd_23664e42a71c,Magalu,104.41,2026-01-11 19:14:19
prd_23664e42a71c,Shopee,104.41,2026-01-11 01:43:03
prd_045813f96891,Mercado Livre,157.29,2026-01-11 19:12:25
prd_045813f96891,Amazon,135.84,2026-01-11 12:29:17
prd_6d4e3b1efd0c,Mercado Livre,1174.19,2026-01-11 11:46:08
prd_6d4e3b1efd0c,Amazon,1082.99,2026-01-11 08:08:11
prd_6d4e3b1efd0c,Magalu,1139.99,2026-01-11 19:35:45
prd_6d4e3b1efd0c,Shopee,1174.19,2026-01-11 12:09:55
prd_afd58e5fd09d,Mercado Livre,465.46,2026-01-11 10:34:14
prd_afd58e5fd09d,Amazon,442.86,2026-01-11 08:00:26
prd_afd58e5fd09d,Magalu,442.86,2026-01-11 19:30:19
prd_afd58e5fd09d,Shopee,479.01,2026-01-11 17:07:01
prd_686e2aab873d,Mercado Livre,89.50,2026-01-11 12:09:58
prd_686e2aab873d,Amazon,89.50,2026-01-11 17:32:40
prd_686e2aab873d,Magalu,92.19,2026-01-11 16:21:51
prd_686e2aab873d,Shopee,87.71,2026-01-11 11:05:54
prd_a4025bac91a7,Mercado Livre,56.07,2026-01-11 11:32:28
prd_a4025bac91a7,Magalu,48.67,2026-01-11 11:00:21
prd_a4025bac91a7,Shopee,52.90,2026-01-11 16:48:40
prd_bf5d8671f7a9,Mercado Livre,113.91,2026-01-11 11:24:35
prd_bf5d8671f7a9,Amazon,127.09,2026-01-11 18:29:29
prd_bf5d8671f7a9,Magalu,117.50,2026-01-11 11:17:14
prd_205f309c1a21,Mercado Livre,34.99,2026-01-11 22:43:40
prd_205f309c1a21,Amazon,32.19,2026-01-11 11:48:15
prd_205f309c1a21,Magalu,36.04,2026-01-11 13:47:53
prd_205f309c1a21,Shopee,38.49,2026-01-11 22:57:16
prd_92c0ecf60a58,Mercado Livre,191.75,2026-01-11 21:34:17
prd_92c0ecf60a58,Magalu,171.85,2026-01-11 22:46:51
prd_92c0ecf60a58,Shopee,191.75,2026-01-11 10:24:01
prd_385035a5bc20,Mercado Livre,226.50,2026-01-11 08:29:38
prd_385035a5bc20,Amazon,215.50,2026-01-11 21:51:30
prd_385035a5bc20,Magalu,215.50,2026-01-11 11:36:30
prd_9239eec8982d,Mercado Livre,50.95,2026-01-11 17:26:21
prd_9239eec8982d,Amazon,51.99,2026-01-11 20:10:24
prd_9239eec8982d,Magalu,53.55,2026-01-11 17:43:01
prd_9239eec8982d,Shopee,51.99,2026-01-11 17:43:24
prd_8b22fd85d500,Mercado Livre,324.99,2026-01-11 18:24:46
prd_8b22fd85d500,Amazon,324.99,2026-01-11 22:04:13
prd_8b22fd85d500,Shopee,344.49,2026-01-11 18:56:28
prd_d500fa66507e,Mercado Livre,365.74,2026-01-11 12:48:41
prd_d500fa66507e,Amazon,377.29,2026-01-11 20:24:14
prd_d500fa66507e,Magalu,396.54,2026-01-11 22:04:42
prd_d500fa66507e,Shopee,365.74,2026-01-11 16:22:07
prd_d92ad43fa137,Mercado Livre,73.59,2026-01-11 08:26:34
prd_d92ad43fa137,Amazon,63.55,2026-01-11 09:10:14
prd_d92ad43fa137,Shopee,70.91,2026-01-11 20:39:37
prd_645f7859f379,Mercado Livre,516.11,2026-01-11 13:52:45
prd_645f7859f379,Amazon,501.51,2026-01-11 23:36:16
prd_645f7859f379,Magalu,462.55,2026-01-11 10:41:08
prd_645f7859f379,Shopee,486.90,2026-01-11 21:49:08
prd_82cd17cb589d,Mercado Livre,46.25,2026-01-11 16:30:45
prd_82cd17cb589d,Amazon,47.59,2026-01-11 13:16:33
prd_82cd17cb589d,Magalu,42.65,2026-01-11 13:49:21
prd_82cd17cb589d,Shopee,44.00,2026-01-11 15:16:10
prd_f063f46a7ef8,Magalu,1471.86,2026-01-11 09:28:26
prd_f063f46a7ef8,Shopee,1400.41,2026-01-11 10:51:01
prd_d22d1b8b1502,Magalu,1057.91,2026-01-11 18:34:25
prd_d22d1b8b1502,Shopee,1092.40,2026-01-11 09:10:07
prd_30518d908a92,Mercado Livre,85.85,2026-01-11 15:39:45
prd_30518d908a92,Amazon,80.99,2026-01-11 23:37:49
prd_30518d908a92,Magalu,85.85,2026-01-11 22:10:58
prd_30518d908a92,Shopee,76.94,2026-01-11 19:16:51
prd_c62100cc281c,Mercado Livre,50.37,2026-01-11 13:11:36
prd_c62100cc281c,Amazon,46.45,2026-01-11 18:19:19
prd_c62100cc281c,Magalu,48.90,2026-01-11 09:34:35
prd_c62100cc281c,Shopee,46.45,2026-01-11 08:44:02
prd_2cbafff50c72,Mercado Livre,95.86,2026-01-11 12:09:01
prd_2cbafff50c72,Amazon,106.95,2026-01-11 19:05:46
prd_2cbafff50c72,Magalu,95.86,2026-01-11 13:04:25
prd_2cbafff50c72,Shopee,106.95,2026-01-11 08:03:55
prd_51511e44c92a,Mercado Livre,91.57,2026-01-11 11:20:41
prd_51511e44c92a,Amazon,88.90,2026-01-11 13:43:43
prd_51511e44c92a,Magalu,91.57,2026-01-11 08:14:55
prd_51511e44c92a,Shopee,88.90,2026-01-11 17:18:47
prd_a479149bae3b,Amazon,83.59,2026-01-11 10:32:31
prd_a479149bae3b,Magalu,87.99,2026-01-11 18:34:45
prd_a479149bae3b,Shopee,96.79,2026-01-11 21:21:28
prd_56e08463d21c,Mercado Livre,230.62,2026-01-11 11:04:17
prd_56e08463d21c,Amazon,219.42,2026-01-11 15:39:40
prd_56e08463d21c,Magalu,219.42,2026-01-11 08:36:27
prd_9b6e92e0766c,Amazon,35.90,2026-01-11 09:22:04
prd_9b6e92e0766c,Magalu,36.98,2026-01-11 20:35:46
prd_9b6e92e0766c,Shopee,36.98,2026-01-11 09:36:28
prd_9f5272275347,Mercado Livre,59.50,2026-01-11 16:48:30
prd_9f5272275347,Amazon,65.45,2026-01-11 15:21:34
prd_9f5272275347,Magalu,54.74,2026-01-11 13:51:07
prd_9f5272275347,Shopee,59.50,2026-01-11 22:05:18
prd_31b74a170d35,Magalu,77.27,2026-01-11 22:19:44
prd_6b1b9c7303d5,Magalu,727.69,2026-01-11 20:37:26
prd_6b1b9c7303d5,Shopee,727.69,2026-01-11 16:44:04
prd_55776d3e5c2a,Mercado Livre,174.70,2026-01-11 23:46:28
prd_55776d3e5c2a,Magalu,189.42,2026-01-11 22:10:56
prd_55776d3e5c2a,Shopee,180.22,2026-01-11 16:40:56
prd_8fa1119d3982,Mercado Livre,43.89,2026-01-11 22:10:38
prd_8fa1119d3982,Amazon,41.10,2026-01-11 17:57:25
prd_8fa1119d3982,Shopee,39.90,2026-01-11 15:53:10
prd_3bee9877eb80,Mercado Livre,45.50,2026-01-11 20:17:59
prd_3bee9877eb80,Amazon,48.23,2026-01-11 13:30:37
prd_3bee9877eb80,Shopee,41.86,2026-01-11 21:00:38
prd_206eacaa3048,Mercado Livre,114.65,2026-01-11 18:26:08
prd_206eacaa3048,Amazon,111.14,2026-01-11 14:53:08
prd_206eacaa3048,Magalu,120.50,2026-01-11 08:14:26
prd_206eacaa3048,Shopee,124.01,2026-01-11 15:45:17
prd_7af81d9a08ba,Mercado Livre,47.49,2026-01-11 08:43:21
prd_7af81d9a08ba,Amazon,47.49,2026-01-11 19:48:29
prd_7af81d9a08ba,Magalu,54.99,2026-01-11 12:16:31
prd_7af81d9a08ba,Shopee,49.99,2026-01-11 15:56:00
prd_a3ae425a3edd,Mercado Livre,83.99,2026-01-11 09:13:21
prd_a3ae425a3edd,Magalu,83.99,2026-01-11 20:10:36
prd_a3ae425a3edd,Shopee,83.99,2026-01-11 21:39:26
prd_951e09f3ecb1,Amazon,51.93,2026-01-11 15:22:15
prd_951e09f3ecb1,Magalu,46.54,2026-01-11 11:49:58
prd_951e09f3ecb1,Shopee,45.07,2026-01-11 20:25:20
prd_08fc82e8b75d,Mercado Livre,142.04,2026-01-11 08:36:02
prd_08fc82e8b75d,Amazon,146.17,2026-01-11 18:26:04
prd_08fc82e8b75d,Magalu,131.00,2026-01-11 13:32:31
prd_08fc82e8b75d,Shopee,142.04,2026-01-11 13:42:03
prd_f1f39e56f84d,Mercado Livre,53.89,2026-01-11 15:25:39
prd_f1f39e56f84d,Amazon,53.89,2026-01-11 19:47:27
prd_f1f39e56f84d,Magalu,53.89,2026-01-11 20:39:12
prd_f1f39e56f84d,Shopee,58.29,2026-01-11 15:17:20
prd_1649b8a625e4,Mercado Livre,97.02,2026-01-11 16:50:44
prd_1649b8a625e4,Amazon,94.05,2026-01-11 16:21:29
prd_1649b8a625e4,Magalu,94.05,2026-01-11 19:57:14
prd_fd4be5bad76d,Mercado Livre,140.90,2026-01-11 14:57:53
prd_fd4be5bad76d,Amazon,145.13,2026-01-11 01:19:06
prd_fd4be5bad76d,Magalu,140.90,2026-01-11 21:01:40
prd_fd4be5bad76d,Shopee,133.85,2026-01-11 22:10:03
prd_6343e70ed4b9,Mercado Livre,144.40,2026-01-11 12:25:03
prd_6343e70ed4b9,Amazon,139.84,2026-01-11 12:31:45
prd_6343e70ed4b9,Shopee,167.20,2026-01-11 19:51:37
prd_ebdebaf4cd37,Mercado Livre,37.90,2026-01-11 00:17:09
prd_ebdebaf4cd37,Amazon,39.10,2026-01-11 17:21:25
prd_ebdebaf4cd37,Magalu,42.29,2026-01-11 17:52:23
prd_ebdebaf4cd37,Shopee,39.90,2026-01-11 08:31:49
prd_c1f6dcbed826,Mercado Livre,189.04,2026-01-11 21:57:01
prd_c1f6dcbed826,Amazon,204.47,2026-01-11 21:39:16
prd_c1f6dcbed826,Shopee,189.04,2026-01-11 19:21:44
prd_9aa451566556,Mercado Livre,387.98,2026-01-11 12:57:59
prd_9aa451566556,Amazon,376.10,2026-01-11 09:17:26
prd_9aa451566556,Magalu,419.65,2026-01-11 18:08:54
prd_9aa451566556,Shopee,387.98,2026-01-11 21:57:45
prd_3053916502fb,Mercado Livre,475.41,2026-01-11 08:29:27
prd_3053916502fb,Amazon,448.50,2026-01-11 12:20:38
prd_3053916502fb,Magalu,439.53,2026-01-11 22:38:28
prd_3053916502fb,Shopee,412.62,2026-01-11 09:44:27
prd_9adbaa3083e1,Amazon,86.02,2026-01-11 19:06:02
prd_9adbaa3083e1,Magalu,96.31,2026-01-11 19:54:03
prd_9adbaa3083e1,Shopee,88.83,2026-01-11 15:34:38
prd_40dc70ce05b2,Mercado Livre,1284.29,2026-01-11 23:42:07
prd_40dc70ce05b2,Amazon,1349.82,2026-01-11 18:32:30
prd_40dc70ce05b2,Magalu,1389.13,2026-01-11 10:59:26
prd_40dc70ce05b2,Shopee,1284.29,2026-01-11 12:42:37
prd_7798c88cc490,Amazon,442.22,2026-01-11 16:24:30
prd_7798c88cc490,Magalu,442.22,2026-01-11 16:45:31
prd_7798c88cc490,Shopee,493.43,2026-01-11 15:43:42
prd_651e8d1acbf8,Mercado Livre,455.60,2026-01-11 09:29:13
prd_651e8d1acbf8,Amazon,478.85,2026-01-11 16:46:46
prd_651e8d1acbf8,Magalu,464.90,2026-01-11 15:49:25
prd_65c60230d4ed,Mercado Livre,94.91,2026-01-11 17:06:41
prd_65c60230d4ed,Magalu,94.91,2026-01-11 11:57:05
prd_65c60230d4ed,Shopee,99.90,2026-01-11 18:24:33
prd_eda682ecfacb,Mercado Livre,167.58,2026-01-11 14:21:48
prd_eda682ecfacb,Amazon,167.58,2026-01-11 17:27:02
prd_eda682ecfacb,Magalu,162.45,2026-01-11 13:13:19
prd_eda682ecfacb,Shopee,181.26,2026-01-11 18:13:37
prd_1b8a6057bb97,Mercado Livre,347.59,2026-01-11 10:33:53
prd_1b8a6057bb97,Amazon,309.67,2026-01-11 20:15:49
prd_1b8a6057bb97,Magalu,290.71,2026-01-11 19:43:12
prd_1b8a6057bb97,Shopee,300.19,2026-01-11 15:37:50
prd_22f73233f9a5,Mercado Livre,98.70,2026-01-11 14:30:43
prd_22f73233f9a5,Magalu,101.82,2026-01-11 16:23:52
prd_22f73233f9a5,Shopee,114.29,2026-01-11 17:18:37
prd_7dd7624b4d5f,Mercado Livre,297.90,2026-01-11 19:42:36
prd_7dd7624b4d5f,Amazon,291.94,2026-01-11 11:25:40
prd_7dd7624b4d5f,Magalu,291.94,2026-01-11 17:24:06
prd_7dd7624b4d5f,Shopee,283.00,2026-01-11 21:15:33
prd_02dd786968a0,Mercado Livre,238.13,2026-01-11 08:18:14
prd_02dd786968a0,Amazon,242.99,2026-01-11 16:01:31
prd_02dd786968a0,Magalu,238.13,2026-01-11 11:20:17
prd_02dd786968a0,Shopee,238.13,2026-01-11 18:44:12
prd_db8fc9e6fa53,Mercado Livre,1349.94,2026-01-11 20:09:21
prd_db8fc9e6fa53,Amazon,1349.94,2026-01-11 15:00:10
prd_db8fc9e6fa53,Magalu,1392.57,2026-01-11 10:02:23
prd_db8fc9e6fa53,Shopee,1307.31,2026-01-11 19:11:23
prd_dd8079e89b90,Mercado Livre,80.66,2026-01-11 15:52:16
prd_dd8079e89b90,Amazon,83.20,2026-01-11 15:21:04
prd_dd8079e89b90,Magalu,80.66,2026-01-11 19:54:11
prd_dd8079e89b90,Shopee,83.20,2026-01-11 17:49:17
prd_e561d57f2a21,Mercado Livre,114.65,2026-01-11 18:51:12
prd_e561d57f2a21,Amazon,120.50,2026-01-11 17:53:35
prd_e561d57f2a21,Shopee,120.50,2026-01-11 12:09:10
prd_473cb7923d3d,Mercado Livre,113.20,2026-01-11 17:34:34
prd_473cb7923d3d,Amazon,101.11,2026-01-11 11:15:29
prd_473cb7923d3d,Magalu,116.49,2026-01-11 08:53:53
prd_f8e027f417be,Mercado Livre,186.33,2026-01-11 11:40:37
prd_f8e027f417be,Magalu,177.28,2026-01-11 16:42:36
prd_f8e027f417be,Shopee,186.33,2026-01-11 11:59:50
prd_ea6b930ce9ac,Amazon,161.70,2026-01-11 19:52:37
prd_ea6b930ce9ac,Magalu,156.99,2026-01-11 22:42:43
prd_abc44b46bee1,Mercado Livre,164.89,2026-01-11 16:18:04
prd_abc44b46bee1,Amazon,137.91,2026-01-11 08:12:48
prd_abc44b46bee1,Magalu,158.89,2026-01-11 19:19:00
prd_abc44b46bee1,Shopee,149.90,2026-01-11 09:10:20
prd_f79cf82f8ee0,Mercado Livre,215.50,2026-01-11 15:19:19
prd_f79cf82f8ee0,Amazon,226.50,2026-01-11 17:50:03
prd_f79cf82f8ee0,Shopee,208.91,2026-01-11 14:29:33
prd_fce914504522,Mercado Livre,73.49,2026-01-11 10:48:58
prd_fce914504522,Amazon,74.99,2026-01-11 09:29:20
prd_fce914504522,Magalu,71.24,2026-01-11 12:29:46
prd_fce914504522,Shopee,74.99,2026-01-11 22:16:16
prd_96fbc500aec1,Mercado Livre,62.43,2026-01-11 22:00:38
prd_96fbc500aec1,Amazon,64.79,2026-01-11 09:25:47
prd_96fbc500aec1,Magalu,54.19,2026-01-11 11:19:04
prd_96fbc500aec1,Shopee,57.72,2026-01-11 11:48:51
prd_0b790b565ff2,Mercado Livre,114.47,2026-01-11 08:22:31
prd_0b790b565ff2,Amazon,118.79,2026-01-11 08:05:01
prd_0b790b565ff2,Magalu,99.35,2026-01-11 17:26:50
prd_0b790b565ff2,Shopee,99.35,2026-01-11 13:59:18
prd_a4ee2d52d1c5,Mercado Livre,213.90,2026-01-11 14:25:29
prd_a4ee2d52d1c5,Magalu,213.90,2026-01-11 17:32:16
prd_a4ee2d52d1c5,Shopee,203.20,2026-01-11 20:25:51
prd_9a3dfc23b7a3,Magalu,111.83,2026-01-11 15:28:31
prd_9a3dfc23b7a3,Shopee,111.83,2026-01-11 11:20:36
prd_a17c779dd289,Mercado Livre,61.66,2026-01-11 19:28:33
prd_a17c779dd289,Magalu,71.39,2026-01-11 11:53:03
prd_a17c779dd289,Shopee,63.60,2026-01-11 08:17:18
prd_d0368e440753,Amazon,33.15,2026-01-11 14:27:28
prd_d0368e440753,Magalu,35.95,2026-01-11 17:42:36
prd_fb32df842fbd,Amazon,92.90,2026-01-11 08:30:49
prd_fb32df842fbd,Magalu,85.47,2026-01-11 21:15:58
prd_7a89c1a36f9e,Mercado Livre,509.11,2026-01-11 16:24:40
prd_7a89c1a36f9e,Amazon,509.11,2026-01-11 19:47:39
prd_7a89c1a36f9e,Magalu,550.67,2026-01-11 11:13:36
prd_7a89c1a36f9e,Shopee,509.11,2026-01-11 16:17:32
prd_18c839427e8c,Mercado Livre,822.87,2026-01-11 20:50:47
prd_18c839427e8c,Amazon,878.79,2026-01-11 22:54:21
prd_18c839427e8c,Magalu,782.92,2026-01-11 18:42:51
prd_18c839427e8c,Shopee,758.95,2026-01-11 08:59:15
prd_d8ec0b81e223,Mercado Livre,364.46,2026-01-11 11:58:38
prd_d8ec0b81e223,Magalu,364.46,2026-01-11 14:41:06
prd_d8ec0b81e223,Shopee,394.21,2026-01-11 14:08:07
prd_c50822dc2e7c,Mercado Livre,230.71,2026-01-11 08:25:44
prd_c50822dc2e7c,Amazon,219.51,2026-01-11 10:48:16
prd_c50822dc2e7c,Magalu,237.43,2026-01-11 22:00:06
prd_c50822dc2e7c,Shopee,206.07,2026-01-11 17:23:31
prd_6742b65088d8,Amazon,43.25,2026-01-11 09:30:44
prd_6742b65088d8,Magalu,41.99,2026-01-11 18:25:47
prd_6742b65088d8,Shopee,41.99,2026-01-11 14:53:54
prd_0c5fb549e1c2,Mercado Livre,272.23,2026-01-11 16:24:03
prd_0c5fb549e1c2,Amazon,304.78,2026-01-11 19:42:49
prd_0c5fb549e1c2,Magalu,304.78,2026-01-11 12:26:04
prd_0c5fb549e1c2,Shopee,295.90,2026-01-11 17:49:47
prd_5a6fd66e1c00,Mercado Livre,103.87,2026-01-11 08:54:14
prd_5a6fd66e1c00,Amazon,107.25,2026-01-11 16:41:48
prd_5a6fd66e1c00,Shopee,116.29,2026-01-11 14:39:03
prd_c708b046fef8,Mercado Livre,43.70,2026-01-11 22:30:08
prd_c708b046fef8,Magalu,45.08,2026-01-11 13:33:07
prd_0c113961481f,Magalu,239.02,2026-01-11 01:20:46
prd_0c113961481f,Shopee,243.90,2026-01-11 08:49:33
prd_2bf8388221ea,Amazon,54.99,2026-01-11 08:33:46
prd_2bf8388221ea,Magalu,49.99,2026-01-11 11:04:40
prd_eea07161e6c8,Mercado Livre,50.46,2026-01-11 09:26:16
prd_eea07161e6c8,Amazon,46.54,2026-01-11 16:27:32
prd_eea07161e6c8,Shopee,45.07,2026-01-11 11:27:17
prd_9259039bf9b2,Mercado Livre,248.22,2026-01-11 08:45:36
prd_9259039bf9b2,Amazon,240.99,2026-01-11 23:50:57
prd_9259039bf9b2,Shopee,228.94,2026-01-11 18:58:06
prd_5437b387f602,Amazon,216.50,2026-01-11 17:54:55
prd_5437b387f602,Magalu,216.50,2026-01-11 11:48:16
prd_5437b387f602,Shopee,234.74,2026-01-11 12:51:58
prd_e3934c71bd0c,Mercado Livre,415.41,2026-01-11 22:32:07
prd_e3934c71bd0c,Magalu,384.06,2026-01-11 20:14:02
prd_e3934c71bd0c,Shopee,384.06,2026-01-11 19:20:35
prd_1974423eecee,Mercado Livre,164.50,2026-01-11 14:22:38
prd_1974423eecee,Amazon,156.28,2026-01-11 11:44:56
prd_1974423eecee,Magalu,161.21,2026-01-11 15:10:59
prd_1974423eecee,Shopee,161.21,2026-01-11 10:24:15
prd_6eca734f2e84,Mercado Livre,209.75,2026-01-11 11:25:46
prd_6eca734f2e84,Amazon,234.83,2026-01-11 13:04:34
prd_6eca734f2e84,Magalu,227.99,2026-01-11 14:39:37
prd_6eca734f2e84,Shopee,227.99,2026-01-11 22:58:50
prd_b17460641fb4,Mercado Livre,235.19,2026-01-11 13:54:37
prd_b17460641fb4,Amazon,235.19,2026-01-11 16:16:46
prd_b17460641fb4,Magalu,263.99,2026-01-11 11:43:13
prd_6ae727ee4463,Mercado Livre,72.52,2026-01-11 11:09:22
prd_6ae727ee4463,Amazon,72.52,2026-01-11 19:06:10
prd_6ae727ee4463,Magalu,68.08,2026-01-11 20:13:13
prd_6ae727ee4463,Shopee,76.22,2026-01-11 11:15:02
prd_c29b93111bd9,Mercado Livre,227.59,2026-01-11 09:40:16
prd_c29b93111bd9,Amazon,219.31,2026-01-11 16:58:53
prd_c29b93111bd9,Magalu,206.90,2026-01-11 11:43:45
prd_c29b93111bd9,Shopee,202.76,2026-01-11 11:14:45
prd_e580cb77e94a,Mercado Livre,99.27,2026-01-11 21:09:11
prd_e580cb77e94a,Amazon,107.90,2026-01-11 11:54:01
prd_e580cb77e94a,Magalu,111.14,2026-01-11 15:27:43
prd_e580cb77e94a,Shopee,105.74,2026-01-11 16:40:25
prd_6212ac3178f2,Mercado Livre,133.31,2026-01-11 21:22:21
prd_6212ac3178f2,Amazon,133.31,2026-01-11 10:56:05
prd_6212ac3178f2,Magalu,149.25,2026-01-11 14:49:16
prd_6212ac3178f2,Shopee,133.31,2026-01-11 20:44:03
prd_b09d96e599b3,Mercado Livre,199.82,2026-01-11 00:08:15
prd_b09d96e599b3,Amazon,216.13,2026-01-11 16:00:45
prd_b09d96e599b3,Magalu,199.82,2026-01-11 17:12:29
prd_b09d96e599b3,Shopee,193.70,2026-01-11 11:49:36
prd_11a9489c4c86,Amazon,71.24,2026-01-11 18:45:25
prd_11a9489c4c86,Magalu,77.24,2026-01-11 22:39:24
prd_11a9489c4c86,Shopee,79.49,2026-01-11 15:15:13
prd_2255432fabe7,Mercado Livre,117.59,2026-01-11 13:04:01
prd_2255432fabe7,Amazon,119.99,2026-01-11 13:00:01
prd_2255432fabe7,Magalu,110.39,2026-01-11 21:35:01
prd_2255432fabe7,Shopee,119.99,2026-01-11 11:19:09
prd_474405dcce41,Mercado Livre,66.54,2026-01-11 15:37:08
prd_474405dcce41,Amazon,74.69,2026-01-11 08:41:39
prd_474405dcce41,Magalu,69.94,2026-01-11 18:06:46
prd_474405dcce41,Shopee,66.54,2026-01-11 12:45:21
prd_47a25ae10c23,Mercado Livre,97.89,2026-01-11 16:42:50
prd_47a25ae10c23,Magalu,87.21,2026-01-11 20:29:41
prd_47a25ae10c23,Shopee,97.89,2026-01-11 13:47:03
prd_622325b011e6,Amazon,343.33,2026-01-11 00:21:47
prd_622325b011e6,Magalu,343.33,2026-01-11 12:05:07
prd_622325b011e6,Shopee,317.42,2026-01-11 21:32:43
prd_359246d9ed10,Mercado Livre,113.04,2026-01-11 16:25:02
prd_359246d9ed10,Magalu,126.13,2026-01-11 16:01:16
prd_359246d9ed10,Shopee,118.99,2026-01-11 19:45:48
prd_84fc6c2a33f2,Mercado Livre,405.72,2026-01-11 15:51:56
prd_84fc6c2a33f2,Amazon,374.20,2026-01-11 20:38:57
prd_84fc6c2a33f2,Shopee,386.02,2026-01-11 17:42:46
prd_1e4ccab8af1a,Amazon,109.66,2026-01-11 21:36:26
prd_1e4ccab8af1a,Magalu,106.31,2026-01-11 15:06:43
prd_1e4ccab8af1a,Shopee,109.66,2026-01-11 16:01:45
prd_3e585d1aaf6c,Mercado Livre,199.41,2026-01-11 16:28:55
prd_3e585d1aaf6c,Amazon,209.90,2026-01-11 15:24:00
prd_3e585d1aaf6c,Shopee,216.20,2026-01-11 23:58:02
